P-PDG,P-TPT,T-TPT,P-MON-CKP,T-JUS-CKP,class,action,well
1.0,0.2523369,-0.9686948,0.8172401,-0.92195123,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172409,-0.92195123,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.81724113,-0.92195123,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.81724185,-0.92195123,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.81724256,-0.9219514,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.81724304,-0.9219514,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172433,-0.9219514,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.81724524,-0.9219514,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172472,-0.9219516,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172479,-0.9219518,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172489,-0.9219518,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172499,-0.9219518,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172518,-0.921952,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172533,-0.9219522,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.81725425,-0.9219522,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172547,-0.9219522,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.81725544,-0.9219522,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172567,-0.92195237,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.81725985,-0.9219526,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172613,-0.9219528,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172618,-0.9219528,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.81726253,-0.9219528,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172679,-0.92195314,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172705,-0.9219534,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172727,-0.92195356,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172732,-0.92195356,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.817274,-0.92195356,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172754,-0.92195374,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172769,-0.9219539,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.81727976,-0.9219539,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172803,-0.9219539,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.81728244,-0.92195415,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172827,-0.92195433,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172832,-0.92195433,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.81728464,-0.92195433,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172851,-0.9219545,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172851,-0.9219545,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172856,-0.9219545,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.81728613,-0.9219545,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172864,-0.9219545,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.81729144,-0.92195493,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.817292,-0.92195493,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172922,-0.92195493,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172934,-0.9219551,0,0,WELL-00001
1.0,0.2523369,-0.968454,0.8172939,-0.9219551,0,0,WELL-00001
1.0,0.2523369,-0.9679724,0.81729513,-0.9219553,0,0,WELL-00001
1.0,0.2523369,-0.9678118,0.8172954,-0.9219553,0,0,WELL-00001
1.0,0.2523369,-0.9671697,0.81729704,-0.9219553,0,0,WELL-00001
1.0,0.2523369,-0.9657248,0.8173007,-0.9219555,0,0,WELL-00001
1.0,0.2523369,-0.9650024,0.81730264,-0.9219557,0,0,WELL-00001
1.0,0.2523369,-0.96460104,0.8173036,-0.9219559,0,0,WELL-00001
1.0,0.2523369,-0.9637181,0.8173058,-0.9219559,0,0,WELL-00001
1.0,0.2523369,-0.96307594,0.81730753,-0.9219561,0,0,WELL-00001
1.0,0.2523369,-0.96299565,0.81730753,-0.9219561,0,0,WELL-00001
1.0,0.2523369,-0.96283513,0.817308,-0.9219561,0,0,WELL-00001
1.0,0.2523369,-0.96259433,0.8173087,-0.9219561,0,0,WELL-00001
1.0,0.2523369,-0.96243376,0.81730896,-0.9219561,0,0,WELL-00001
1.0,0.2523369,-0.96187186,0.81731045,-0.9219563,0,0,WELL-00001
1.0,0.2523369,-0.96122974,0.8173119,-0.9219565,0,0,WELL-00001
1.0,0.2523369,-0.96074814,0.8173134,-0.9219565,0,0,WELL-00001
1.0,0.2523369,-0.95938355,0.81731653,-0.92195666,0,0,WELL-00001
1.0,0.2523369,-0.95874137,0.8173182,-0.9219569,0,0,WELL-00001
1.0,0.2523369,-0.95834005,0.8173192,-0.9219569,0,0,WELL-00001
1.0,0.2523369,-0.95825976,0.81731945,-0.9219571,0,0,WELL-00001
1.0,0.2523369,-0.9572965,0.81732184,-0.9219571,0,0,WELL-00001
1.0,0.2523369,-0.9563333,0.8173243,-0.92195725,0,0,WELL-00001
1.0,0.2523369,-0.9544871,0.81732893,-0.9219577,0,0,WELL-00001
1.0,0.2523369,-0.9540055,0.8173301,-0.92195785,0,0,WELL-00001
1.0,0.2523369,-0.9539252,0.81733036,-0.92195785,0,0,WELL-00001
1.0,0.2523369,-0.9538449,0.8173306,-0.92195785,0,0,WELL-00001
1.0,0.2523369,-0.9525606,0.817334,-0.921958,0,0,WELL-00001
1.0,0.2523369,-0.9516776,0.81733596,-0.92195827,0,0,WELL-00001
1.0,0.2523369,-0.9504736,0.8173391,-0.92195845,0,0,WELL-00001
1.0,0.2523369,-0.95031303,0.8173396,-0.92195845,0,0,WELL-00001
1.0,0.2523369,-0.9500722,0.81734014,-0.92195845,0,0,WELL-00001
1.0,0.2523369,-0.9494301,0.8173418,-0.92195845,0,0,WELL-00001
1.0,0.2523369,-0.9480655,0.81734496,-0.9219588,0,0,WELL-00001
1.0,0.25237748,-0.94710225,0.81734765,-0.92195904,0,0,WELL-00001
1.0,0.2524181,-0.94686145,0.8173481,-0.92195904,0,0,WELL-00001
1.0,0.25244933,-0.94670093,0.8173486,-0.92195904,0,0,WELL-00001
1.0,0.25251177,-0.94637984,0.8173496,-0.92195904,0,0,WELL-00001
1.0,0.252543,-0.9462193,0.81734985,-0.92195904,0,0,WELL-00001
1.0,0.25260547,-0.94581795,0.81735057,-0.9219592,0,0,WELL-00001
1.0,0.25293964,-0.94405204,0.8173552,-0.92195964,0,0,WELL-00001
1.0,0.25303334,-0.9435704,0.81735665,-0.92195964,0,0,WELL-00001
1.0,0.25308332,-0.94324934,0.8173571,-0.92195964,0,0,WELL-00001
1.0,0.25312704,-0.9430085,0.81735784,-0.92195964,0,0,WELL-00001
1.0,0.25318015,-0.9427677,0.8173584,-0.9219598,0,0,WELL-00001
1.0,0.25326133,-0.9422861,0.81735957,-0.9219598,0,0,WELL-00001
1.0,0.25335503,-0.94180447,0.81736076,-0.92196,0,0,WELL-00001
1.0,0.2533769,-0.9417242,0.8173613,-0.92196,0,0,WELL-00001
1.0,0.25343937,-0.94132286,0.817362,-0.92196,0,0,WELL-00001
1.0,0.2538235,-0.9393161,0.8173674,-0.9219604,0,0,WELL-00001
1.0,0.2540109,-0.9382726,0.81736976,-0.9219606,0,0,WELL-00001
1.0,0.25409523,-0.937791,0.817371,-0.9219608,0,0,WELL-00001
1.0,0.25415766,-0.9374699,0.8173717,-0.9219608,0,0,WELL-00001
1.0,0.25422952,-0.9383529,0.8173727,-0.921961,0,0,WELL-00001
1.0,0.25431383,-0.9404399,0.81737393,-0.921961,0,0,WELL-00001
1.0,0.25434193,-0.9412426,0.8173744,-0.921961,0,0,WELL-00001
1.0,0.2545512,-0.94637984,0.8173771,-0.9219612,0,0,WELL-00001
1.0,0.2546355,-0.94846684,0.8173783,-0.9219612,0,0,WELL-00001
1.0,0.25476044,-0.9515974,0.81738,-0.92196137,0,0,WELL-00001
1.0,0.25508213,-0.95962435,0.81738436,-0.92196155,0,0,WELL-00001
1.0,0.2550915,-0.95986515,0.81738436,-0.92196155,0,0,WELL-00001
1.0,0.2556443,-0.95874137,0.81739193,-0.92196214,0,0,WELL-00001
1.0,0.25574735,-0.9535238,0.81739336,-0.9219624,0,0,WELL-00001
1.0,0.25577858,-0.9519184,0.81739384,-0.9219624,0,0,WELL-00001
1.0,0.25618458,-0.9391556,0.8173992,-0.92196274,0,0,WELL-00001
1.0,0.25619397,-0.9393161,0.81739944,-0.92196274,0,0,WELL-00001
1.0,0.25628766,-0.94076097,0.8174007,-0.92196274,0,0,WELL-00001
1.0,0.25658122,-0.9454166,0.81740457,-0.92196316,0,0,WELL-00001
1.0,0.25659996,-0.94573766,0.81740505,-0.92196316,0,0,WELL-00001
1.0,0.25675613,-0.94822603,0.817407,-0.92196333,0,0,WELL-00001
1.0,0.2569029,-0.95055383,0.81740916,-0.92196333,0,0,WELL-00001
1.0,0.25702783,-0.9524803,0.8174109,-0.9219635,0,0,WELL-00001
1.0,0.25714028,-0.9543265,0.8174123,-0.92196375,0,0,WELL-00001
1.0,0.25716212,-0.9546476,0.8174126,-0.92196375,0,0,WELL-00001
1.0,0.25725582,-0.9560925,0.81741405,-0.92196393,0,0,WELL-00001
1.0,0.25734016,-0.95745707,0.817415,-0.92196393,0,0,WELL-00001
1.0,0.25734952,-0.9576176,0.81741524,-0.92196393,0,0,WELL-00001
1.0,0.25735888,-0.95777816,0.81741524,-0.92196393,0,0,WELL-00001
1.0,0.25763062,-0.96203244,0.81741893,-0.9219641,0,0,WELL-00001
1.0,0.25779614,-0.9646813,0.8174211,-0.9219643,0,0,WELL-00001
1.0,0.25784922,-0.9655643,0.81742185,-0.9219645,0,0,WELL-00001
1.0,0.2578586,-0.9657248,0.8174221,-0.9219645,0,0,WELL-00001
1.0,0.2578898,-0.96620643,0.81742257,-0.9219645,0,0,WELL-00001
1.0,0.2579835,-0.9676513,0.81742376,-0.9219647,0,0,WELL-00001
1.0,0.25802723,-0.9683737,0.81742424,-0.9219647,0,0,WELL-00001
1.0,0.25804597,-0.9686948,0.8174248,-0.9219647,0,0,WELL-00001
1.0,0.25814903,-0.9660459,0.81742597,-0.9219647,0,0,WELL-00001
1.0,0.25818026,-0.9652432,0.81742644,-0.9219647,0,0,WELL-00001
1.0,0.25819278,-0.9650024,0.81742644,-0.9219647,0,0,WELL-00001
1.0,0.25856754,-0.9537647,0.81743276,-0.9219653,0,0,WELL-00001
1.0,0.25856754,-0.9522395,0.81743354,-0.9219653,0,0,WELL-00001
1.0,0.25856754,-0.951196,0.81743425,-0.9219653,0,0,WELL-00001
1.0,0.25856754,-0.949109,0.8174352,-0.9219653,0,0,WELL-00001
1.0,0.25856754,-0.9485471,0.81743544,-0.9219653,0,0,WELL-00001
1.0,0.25856754,-0.9462193,0.8174367,-0.9219655,0,0,WELL-00001
1.0,0.25856754,-0.9446139,0.81743765,-0.9219655,0,0,WELL-00001
1.0,0.25856754,-0.94284797,0.8174386,-0.92196566,0,0,WELL-00001
1.0,0.25856754,-0.9414834,0.8174393,-0.92196566,0,0,WELL-00001
1.0,0.25856754,-0.9410018,0.8174396,-0.92196566,0,0,WELL-00001
1.0,0.25856754,-0.9399583,0.8174401,-0.9219659,0,0,WELL-00001
1.0,0.25856754,-0.9383529,0.81744105,-0.9219659,0,0,WELL-00001
1.0,0.25856754,-0.9414834,0.8174428,-0.9219659,0,0,WELL-00001
1.0,0.25856754,-0.94565743,0.8174437,-0.9219659,0,0,WELL-00001
1.0,0.25856754,-0.9540055,0.8174462,-0.92196625,0,0,WELL-00001
1.0,0.25856754,-0.9639589,0.81744885,-0.92196643,0,0,WELL-00001
1.0,0.25856754,-0.9681329,0.81745005,-0.9219667,0,0,WELL-00001
1.0,0.25856754,-0.96139026,0.817452,-0.9219667,0,0,WELL-00001
1.0,0.25856754,-0.94670093,0.8174561,-0.92196685,0,0,WELL-00001
1.0,0.25856754,-0.9378712,0.81745833,-0.92196727,0,0,WELL-00001
1.0,0.25856754,-0.9375502,0.8174588,-0.92196727,0,0,WELL-00001
1.0,0.25856754,-0.9376304,0.81745905,-0.92196727,0,0,WELL-00001
1.0,0.25856754,-0.9397977,0.8174617,-0.92196727,0,0,WELL-00001
1.0,0.25856754,-0.94212556,0.8174649,-0.9219676,0,0,WELL-00001
1.0,0.25856754,-0.94236636,0.81746536,-0.9219676,0,0,WELL-00001
1.0,0.25856754,-0.94268745,0.8174656,-0.9219676,0,0,WELL-00001
1.0,0.25856754,-0.94324934,0.81746656,-0.9219678,0,0,WELL-00001
1.0,0.25856754,-0.9435704,0.8174671,-0.9219678,0,0,WELL-00001
1.0,0.25856754,-0.94373095,0.8174671,-0.9219678,0,0,WELL-00001
1.0,0.25856754,-0.94429284,0.81746805,-0.9219678,0,0,WELL-00001
1.0,0.25856754,-0.94549686,0.8174695,-0.9219678,0,0,WELL-00001
1.0,0.25856754,-0.94597846,0.81747025,-0.9219678,0,0,WELL-00001
1.0,0.25856754,-0.94637984,0.8174707,-0.92196804,0,0,WELL-00001
1.0,0.25856754,-0.94926953,0.8174746,-0.9219684,0,0,WELL-00001
1.0,0.25856754,-0.9498314,0.81747556,-0.9219684,0,0,WELL-00001
1.0,0.25856754,-0.9507947,0.8174766,-0.9219684,0,0,WELL-00001
1.0,0.25856754,-0.95135653,0.8174773,-0.9219684,0,0,WELL-00001
1.0,0.25856754,-0.9528014,0.8174795,-0.92196864,0,0,WELL-00001
1.0,0.25856754,-0.953283,0.8174802,-0.92196864,0,0,WELL-00001
1.0,0.25856754,-0.9536041,0.81748044,-0.92196864,0,0,WELL-00001
1.0,0.25856754,-0.9538449,0.8174807,-0.9219688,0,0,WELL-00001
1.0,0.25856754,-0.9545674,0.81748194,-0.9219688,0,0,WELL-00001
1.0,0.25856754,-0.95777816,0.81748605,-0.921969,0,0,WELL-00001
1.0,0.25856754,-0.95834005,0.81748676,-0.9219692,0,0,WELL-00001
1.0,0.25856754,-0.95978487,0.81748897,-0.9219694,0,0,WELL-00001
1.0,0.25856754,-0.96082836,0.81749016,-0.9219694,0,0,WELL-00001
1.0,0.25856754,-0.96243376,0.81749237,-0.9219696,0,0,WELL-00001
1.0,0.25856754,-0.96403915,0.8174946,-0.9219698,0,0,WELL-00001
1.0,0.25856754,-0.9650827,0.81749624,-0.9219698,0,0,WELL-00001
1.0,0.25856754,-0.9658854,0.817497,-0.92196995,0,0,WELL-00001
1.0,0.25856754,-0.96644723,0.81749797,-0.92196995,0,0,WELL-00001
1.0,0.25856754,-0.96725,0.8174989,-0.92196995,0,0,WELL-00001
1.0,0.25856754,-0.9673302,0.81749916,-0.9219702,0,0,WELL-00001
1.0,0.25856754,-0.9681329,0.8175002,-0.9219702,0,0,WELL-00001
1.0,0.25856754,-0.9683737,0.8175004,-0.9219702,0,0,WELL-00001
1.0,0.25856754,-0.9686948,0.81750405,-0.92197037,0,0,WELL-00001
1.0,0.25856754,-0.9686948,0.817505,-0.92197037,0,0,WELL-00001
1.0,0.25856754,-0.9686948,0.8175055,-0.92197055,0,0,WELL-00001
1.0,0.25856754,-0.9686948,0.81750697,-0.92197055,0,0,WELL-00001
1.0,0.25856754,-0.9686948,0.81751186,-0.92197096,0,0,WELL-00001
1.0,0.25856754,-0.9686948,0.81751186,-0.92197096,0,0,WELL-00001
1.0,0.25856754,-0.9686948,0.8175121,-0.92197096,0,0,WELL-00001
1.0,0.25856754,-0.9686948,0.8175133,-0.92197096,0,0,WELL-00001
1.0,0.25856754,-0.9686948,0.8175133,-0.92197114,0,0,WELL-00001
1.0,0.25856754,-0.9686948,0.817514,-0.92197114,0,0,WELL-00001
1.0,0.25856754,-0.9686948,0.8175147,-0.92197114,0,0,WELL-00001
1.0,0.25856754,-0.9686948,0.81751525,-0.92197114,0,0,WELL-00001
1.0,0.25856754,-0.9686948,0.81751597,-0.9219713,0,0,WELL-00001
1.0,0.25816777,-0.9686948,0.8175216,-0.92197174,0,0,WELL-00001
1.0,0.25804284,-0.9686948,0.817523,-0.92197174,0,0,WELL-00001
1.0,0.25794291,-0.9686948,0.81752425,-0.9219719,0,0,WELL-00001
1.0,0.2578211,-0.9686948,0.8175259,-0.92197216,0,0,WELL-00001
1.0,0.2577649,-0.9686948,0.81752664,-0.92197216,0,0,WELL-00001
1.0,0.25754315,-0.9686948,0.8175293,-0.92197233,0,0,WELL-00001
1.0,0.25753066,-0.9686948,0.81752956,-0.92197233,0,0,WELL-00001
1.0,0.25745258,-0.9686948,0.8175306,-0.92197233,0,0,WELL-00001
1.0,0.25706533,-0.9686948,0.8175354,-0.9219727,0,0,WELL-00001
1.0,0.256753,-0.9686948,0.81753933,-0.92197293,0,0,WELL-00001
1.0,0.25670928,-0.9686948,0.81754005,-0.9219731,0,0,WELL-00001
1.0,0.25658748,-0.9686948,0.8175415,-0.9219731,0,0,WELL-00001
1.0,0.2563189,-0.9686948,0.8175449,-0.9219735,0,0,WELL-00001
1.0,0.25626266,-0.9686948,0.81754565,-0.9219735,0,0,WELL-00001
1.0,0.2562533,-0.9686948,0.8175459,-0.9219735,0,0,WELL-00001
1.0,0.256119,-0.9686948,0.81754756,-0.9219735,0,0,WELL-00001
1.0,0.25606278,-0.9686948,0.81754833,-0.9219737,0,0,WELL-00001
1.0,0.25590664,-0.9686948,0.81755024,-0.9219739,0,0,WELL-00001
1.0,0.2558754,-0.9686948,0.8175505,-0.9219739,0,0,WELL-00001
1.0,0.2558504,-0.9686948,0.817551,-0.9219739,0,0,WELL-00001
1.0,0.25577545,-0.9686948,0.81755173,-0.9219739,0,0,WELL-00001
1.0,0.25575048,-0.9686948,0.8175522,-0.92197406,0,0,WELL-00001
1.0,0.2557286,-0.9686948,0.81755245,-0.92197406,0,0,WELL-00001
1.0,0.2556724,-0.9686948,0.81755316,-0.92197406,0,0,WELL-00001
1.0,0.25552872,-0.9686948,0.8175549,-0.92197406,0,0,WELL-00001
1.0,0.25540692,-0.9686948,0.8175563,-0.9219743,0,0,WELL-00001
1.0,0.25537258,-0.9686948,0.8175571,-0.9219743,0,0,WELL-00001
1.0,0.25523826,-0.9686948,0.81755877,-0.9219745,0,0,WELL-00001
1.0,0.25520706,-0.9686948,0.817559,-0.9219745,0,0,WELL-00001
1.0,0.25482914,-0.9686948,0.8175639,-0.92197466,0,0,WELL-00001
1.0,0.25471672,-0.9686948,0.8175653,-0.92197484,0,0,WELL-00001
1.0,0.25462925,-0.9686948,0.8175666,-0.9219751,0,0,WELL-00001
1.0,0.2546074,-0.9686948,0.8175666,-0.9219751,0,0,WELL-00001
1.0,0.25456056,-0.9686948,0.8175673,-0.9219751,0,0,WELL-00001
1.0,0.25439504,-0.9686948,0.8175695,-0.92197526,0,0,WELL-00001
1.0,0.25423887,-0.9686948,0.81757116,-0.92197543,0,0,WELL-00001
1.0,0.2542045,-0.9686948,0.8175719,-0.92197543,0,0,WELL-00001
1.0,0.2541483,-0.9686948,0.8175724,-0.92197543,0,0,WELL-00001
1.0,0.25413895,-0.9686948,0.81757265,-0.92197543,0,0,WELL-00001
1.0,0.25362673,-0.9686948,0.8175792,-0.92197603,0,0,WELL-00001
1.0,0.253583,-0.9686948,0.8175797,-0.92197603,0,0,WELL-00001
1.0,0.2534612,-0.9686948,0.8175814,-0.92197603,0,0,WELL-00001
1.0,0.25339252,-0.9686948,0.81758213,-0.92197603,0,0,WELL-00001
1.0,0.25333628,-0.9686948,0.81758285,-0.9219762,0,0,WELL-00001
1.0,0.25332692,-0.9686948,0.8175831,-0.9219762,0,0,WELL-00001
1.0,0.25327072,-0.9686948,0.8175838,-0.9219762,0,0,WELL-00001
1.0,0.25319263,-0.9686948,0.8175846,-0.9219762,0,0,WELL-00001
1.0,0.25317076,-0.9686948,0.8175848,-0.92197645,0,0,WELL-00001
1.0,0.25311455,-0.9686948,0.8175855,-0.92197645,0,0,WELL-00001
1.0,0.2528803,-0.9671697,0.81758845,-0.9219766,0,0,WELL-00001
1.0,0.25248054,-0.96460104,0.8175938,-0.92197704,0,0,WELL-00001
1.0,0.2524587,-0.9644405,0.81759405,-0.92197704,0,0,WELL-00001
1.0,0.2523931,-0.96403915,0.81759477,-0.92197704,0,0,WELL-00001
1.0,0.2523369,-0.9629154,0.8175972,-0.9219772,0,0,WELL-00001
1.0,0.2523369,-0.96131,0.81760037,-0.9219774,0,0,WELL-00001
1.0,0.2523369,-0.96114945,0.8176006,-0.9219774,0,0,WELL-00001
1.0,0.2523369,-0.96066785,0.81760156,-0.9219776,0,0,WELL-00001
1.0,0.2523369,-0.95914274,0.8176045,-0.9219778,0,0,WELL-00001
1.0,0.2523369,-0.95898217,0.81760496,-0.9219778,0,0,WELL-00001
1.0,0.2523369,-0.9578584,0.81760716,-0.9219778,0,0,WELL-00001
1.0,0.2523369,-0.95665437,0.8176096,-0.9219782,0,0,WELL-00001
1.0,0.2523369,-0.9548884,0.81761277,-0.9219784,0,0,WELL-00001
1.0,0.2523369,-0.9548884,0.817613,-0.9219784,0,0,WELL-00001
1.0,0.2523369,-0.9544068,0.8176137,-0.9219786,0,0,WELL-00001
1.0,0.2523369,-0.9543265,0.81761396,-0.9219786,0,0,WELL-00001
1.0,0.2523369,-0.953283,0.81761616,-0.9219786,0,0,WELL-00001
1.0,0.2523369,-0.952962,0.81761664,-0.9219786,0,0,WELL-00001
1.0,0.2523369,-0.9526409,0.8176174,-0.9219788,0,0,WELL-00001
1.0,0.2523369,-0.9518382,0.8176191,-0.9219788,0,0,WELL-00001
1.0,0.2523369,-0.951196,0.81762034,-0.92197895,0,0,WELL-00001
1.0,0.2523369,-0.9510355,0.8176206,-0.92197895,0,0,WELL-00001
1.0,0.2523369,-0.9501525,0.81762224,-0.9219792,0,0,WELL-00001
1.0,0.2523369,-0.9483063,0.8176261,-0.92197937,0,0,WELL-00001
1.0,0.2523369,-0.94742334,0.8176276,-0.92197955,0,0,WELL-00001
1.0,0.2523369,-0.94637984,0.8176298,-0.9219797,0,0,WELL-00001
1.0,0.2523369,-0.94597846,0.8176305,-0.9219797,0,0,WELL-00001
1.0,0.2523369,-0.94565743,0.81763124,-0.9219797,0,0,WELL-00001
1.0,0.2523369,-0.94389147,0.81763464,-0.92197996,0,0,WELL-00001
1.0,0.2523369,-0.9438112,0.8176349,-0.92197996,0,0,WELL-00001
1.0,0.2523369,-0.94365066,0.8176351,-0.92197996,0,0,WELL-00001
1.0,0.2523369,-0.94308877,0.8176364,-0.92198014,0,0,WELL-00001
1.0,0.2523369,-0.94284797,0.81763685,-0.92198014,0,0,WELL-00001
1.0,0.2523369,-0.941965,0.8176386,-0.9219803,0,0,WELL-00001
1.0,0.2523369,-0.94180447,0.8176388,-0.9219803,0,0,WELL-00001
1.0,0.2523369,-0.94108206,0.81764024,-0.9219803,0,0,WELL-00001
1.0,0.2523369,-0.9409215,0.8176407,-0.9219803,0,0,WELL-00001
